,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1
ID,63440,74437,75169,79473,80600,83363,84306,84333,84449,84465,85015,85090,85092,85093,85104,85136,85167,86010,86090,86159,86208,87105,87193,88076,88086,88091,88114,88174,88175,88191,89002,89008,89082,89128,89903,90030,90048,91061,91075,92008,92016,92041,92082,92162,92175,93012,93042,93050,93107,93147,93162,94090,94135,95016,95054,95077,95107,95203,96036,96067,96143,96146,96154,97034,97065,97097,97122,97156,98032,98053,98055,99142,99235,100034,100081,100086,100102,100105,100125,100175,100180,100235,101001,101007,101022,101068,101069,101101,101205,101206,102025,102030,102052,102059,102076,102163,102191,102199,102200,103108,103113,103189,103194,103707,103708,103709,103714,103715,103719,104001,104908
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-02,0,0,1,0,37,0,4,4,0,3,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,8,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-01-03,0,0,4,0,37,0,5,4,0,4,0,0,0,0,0,1,0,0,0,2,2,10,2,0,0,0,0,8,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,3,0,0,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-01-04,0,0,4,0,37,0,6,4,0,4,0,0,0,0,0,1,0,0,0,2,2,10,2,0,0,0,0,8,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,5,0,0,0,3,0,0,3,0,0,2,0,0,1,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2015-01-05,0,0,12,0,38,1,11,11,0,4,0,0,0,0,0,1,0,0,0,2,4,13,3,0,1,0,0,10,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,0,1,10,0,0,0,3,0,0,5,0,0,2,0,1,4,2,5,0,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,7,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-01-06,0,0,14,0,42,2,15,12,0,5,2,7,2,0,0,3,2,0,0,2,4,13,3,0,2,0,0,14,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,2,0,1,0,1,18,0,0,0,3,0,0,5,0,0,2,0,1,4,4,6,3,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11,8,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
2015-01-07,0,0,14,0,42,2,17,12,0,8,3,15,3,0,0,3,2,0,0,2,6,15,5,6,2,0,0,16,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,2,0,1,0,3,18,0,0,0,3,0,0,6,0,0,2,0,1,4,5,9,8,6,0,0,0,0,1,2,0,10,0,0,0,0,0,0,0,0,0,0,12,8,0,3,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0
2015-01-08,0,0,14,0,47,2,18,14,0,8,3,23,6,0,0,4,2,0,0,3,7,19,5,10,5,0,0,16,1,3,0,0,0,7,0,2,0,0,0,0,0,0,5,0,0,9,0,0,0,14,0,2,2,1,0,5,18,0,0,0,3,0,0,6,0,0,2,0,1,4,5,9,8,6,2,0,0,0,1,6,0,12,0,0,0,0,0,0,0,0,0,1,14,9,0,3,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0
2015-01-09,0,0,14,0,62,2,19,17,0,8,5,23,6,0,0,4,2,0,0,3,9,19,6,10,6,0,0,17,1,5,1,0,0,15,0,2,0,0,0,0,0,0,5,0,0,9,0,0,1,14,0,2,5,1,0,8,19,0,0,0,3,0,0,6,0,0,2,0,2,5,6,11,9,7,2,0,0,0,1,6,0,13,0,0,0,0,0,0,0,0,0,1,16,9,0,4,0,0,0,0,5,11,0,1,1,3,0,0,1,0,0
2015-01-10,0,0,22,0,63,2,19,20,0,9,5,30,6,0,0,4,2,0,0,3,13,21,6,10,6,0,0,18,2,5,1,0,0,19,0,4,0,0,0,0,0,0,5,0,0,11,0,2,1,17,0,3,5,1,0,8,26,0,0,0,3,0,0,8,0,0,2,0,2,5,6,14,9,7,4,0,0,0,1,6,0,13,0,0,0,0,0,0,0,0,0,1,16,9,0,6,0,0,0,0,5,12,0,1,1,3,0,0,4,0,0
2015-01-11,0,0,22,0,63,2,19,20,0,10,5,30,10,0,0,4,2,0,0,3,13,22,6,15,6,0,0,18,2,5,1,0,0,21,0,5,0,0,0,0,0,0,5,0,0,11,0,2,1,17,0,3,5,1,0,8,26,0,0,0,3,0,0,8,0,0,2,0,2,5,7,14,9,7,5,0,0,0,1,6,0,20,0,0,0,0,0,0,0,0,0,1,16,9,0,6,0,0,0,0,5,12,0,1,1,3,0,0,4,0,0
2015-01-12,0,0,22,0,63,2,20,20,0,10,5,39,12,0,0,4,2,0,0,3,13,30,6,15,8,0,0,22,2,5,2,0,0,21,0,5,0,0,0,0,0,0,5,0,0,15,0,2,2,17,0,4,7,1,0,9,26,0,0,0,3,0,0,9,0,0,2,0,3,5,7,15,10,7,7,0,0,0,1,6,0,20,0,5,0,0,0,0,0,0,0,1,16,9,0,14,0,0,0,0,6,15,0,1,3,4,0,0,4,0,0
2015-01-13,0,0,22,0,66,4,20,20,0,11,5,42,14,0,0,4,2,0,0,3,13,30,8,15,8,0,0,22,2,5,2,0,0,21,0,6,0,0,0,0,0,0,5,0,0,15,0,2,2,21,0,4,8,1,0,11,32,0,0,0,3,0,0,11,0,0,3,0,4,5,7,16,12,7,8,0,0,0,1,6,0,21,0,5,0,0,0,0,0,0,0,1,16,10,0,18,0,0,0,0,6,16,0,1,3,4,0,0,5,0,0
2015-01-14,0,0,22,0,66,8,21,21,0,11,5,55,14,1,0,6,2,0,0,3,14,31,8,18,9,0,1,23,2,5,2,0,0,21,0,7,0,0,0,0,0,0,5,0,0,16,0,2,2,24,0,4,11,2,0,13,39,0,0,0,3,0,0,13,0,0,3,0,4,5,8,17,12,9,10,0,0,0,1,8,0,21,0,5,0,0,0,0,0,0,0,1,25,10,0,21,0,0,0,0,6,16,0,1,3,5,0,0,5,0,0
2015-01-15,0,0,22,0,68,8,22,22,0,11,5,55,14,1,0,6,2,0,0,4,16,33,8,19,10,0,1,24,3,6,3,8,0,26,0,8,0,0,0,0,0,0,5,0,0,16,0,2,3,27,0,4,14,2,0,13,39,0,0,0,3,0,0,14,0,0,4,0,5,5,8,17,12,9,10,0,0,0,1,10,1,27,0,5,0,0,0,0,0,0,0,4,25,10,0,22,0,0,0,0,6,18,0,2,4,5,0,0,5,0,0
2015-01-16,0,0,22,0,72,10,25,22,0,11,5,62,14,2,0,6,2,0,0,4,16,43,10,19,10,0,2,25,3,8,4,8,0,29,0,12,0,0,0,0,0,0,5,0,0,20,0,2,3,29,0,4,14,2,0,13,39,0,0,0,3,0,0,14,5,0,5,0,5,7,9,17,12,11,10,0,0,0,1,10,1,30,0,5,0,0,0,0,0,0,0,4,26,15,0,27,0,0,0,0,9,20,0,3,5,5,0,0,5,0,0
2015-01-17,0,0,22,0,72,11,30,24,0,11,5,62,14,10,0,6,2,0,0,5,16,56,10,19,10,0,2,25,3,8,4,8,0,29,0,12,0,0,0,0,0,0,5,0,0,20,0,2,3,37,0,4,14,2,0,13,39,0,0,0,3,0,0,18,5,0,5,0,6,7,9,17,12,11,10,0,0,0,1,10,1,33,0,5,0,0,0,0,0,0,0,4,26,15,0,29,0,0,0,0,9,20,0,4,5,5,0,0,6,0,0
2015-01-18,0,0,22,0,72,11,30,24,0,12,5,62,18,10,0,6,2,0,0,5,16,56,10,19,10,0,2,25,3,8,4,8,0,29,0,12,0,0,0,0,0,0,5,0,0,20,0,2,3,37,0,4,14,2,0,13,39,0,0,0,3,0,0,18,5,0,5,0,6,7,9,17,12,11,10,0,0,0,1,10,1,44,0,5,0,0,0,0,0,0,0,4,26,15,0,29,0,0,0,0,9,20,0,4,5,5,0,0,6,0,0
2015-01-19,0,0,22,0,83,40,30,24,0,12,5,75,19,30,0,7,2,1,0,10,21,56,10,20,13,0,4,27,3,8,4,8,0,30,0,12,0,0,0,0,0,0,5,0,0,32,0,2,5,39,0,4,14,2,0,23,40,0,0,0,3,0,1,19,5,0,7,0,8,7,9,18,12,11,20,0,0,0,1,11,1,44,0,6,0,0,0,0,0,0,0,4,26,16,0,40,0,0,0,0,9,22,0,4,6,5,0,0,6,0,0
2015-01-20,0,0,27,0,99,62,30,27,0,13,6,83,19,34,0,7,2,1,0,10,25,59,11,30,15,0,4,36,3,8,5,8,0,31,0,13,0,0,0,0,0,0,10,0,0,32,0,2,8,40,0,4,26,6,0,26,41,0,0,0,3,0,1,30,5,0,8,0,8,9,10,22,13,11,21,0,0,0,1,11,1,46,0,6,0,0,0,0,0,0,0,4,27,17,0,42,0,0,0,0,9,26,0,4,6,6,0,0,7,0,0
2015-01-21,0,0,27,0,127,68,30,33,0,13,7,84,22,46,0,7,6,1,0,14,25,63,11,32,15,0,4,38,3,8,6,8,0,33,0,27,0,0,0,0,0,0,10,0,0,38,0,2,8,40,0,4,27,10,0,27,41,0,0,0,3,0,1,33,5,0,10,0,8,13,12,25,16,11,25,0,0,0,1,13,1,49,0,6,0,0,0,0,0,0,0,4,33,18,0,45,0,0,0,0,9,32,0,4,6,6,0,0,8,0,0
2015-01-22,0,0,30,0,127,70,30,33,0,13,7,85,22,46,0,7,6,2,0,14,27,66,12,51,18,0,5,38,3,10,6,8,0,33,0,27,0,0,0,0,0,0,15,0,0,40,0,2,10,45,0,4,27,14,0,28,46,0,0,0,3,0,1,36,5,0,40,0,8,13,12,26,18,11,25,0,0,0,1,16,1,49,0,7,0,0,0,0,0,0,0,4,33,20,0,46,0,0,0,0,9,33,0,4,6,6,0,0,8,2,0
2015-01-23,0,0,40,0,127,70,32,37,0,14,8,90,25,48,0,7,6,2,0,14,27,67,13,52,18,0,10,43,3,11,6,8,0,33,0,38,0,0,0,0,0,0,15,0,0,50,0,2,12,53,0,4,43,20,0,28,51,0,0,0,3,0,1,38,5,0,47,0,9,13,14,26,18,11,27,0,0,0,1,16,1,49,0,7,0,0,0,0,0,0,0,4,33,21,0,46,0,0,0,0,9,34,0,4,6,11,0,0,9,2,0
2015-01-24,0,0,40,0,127,71,36,37,0,15,8,91,27,51,0,7,6,2,0,14,29,67,13,56,18,0,13,43,3,11,6,8,0,33,0,38,0,0,0,0,0,0,22,0,0,56,0,2,12,56,0,4,44,21,0,28,58,0,0,0,3,0,1,42,5,0,49,0,9,13,14,26,18,11,27,0,0,0,1,16,1,49,0,7,0,0,0,0,0,0,0,4,33,23,0,46,0,0,0,0,9,34,0,4,7,11,0,0,9,2,0
2015-01-25,0,0,40,0,127,71,36,37,0,16,8,91,27,51,0,7,6,2,0,14,29,67,13,56,19,0,19,43,3,11,6,8,0,36,0,38,0,0,0,0,0,0,22,0,0,56,0,2,12,56,0,4,44,21,0,28,68,0,0,0,3,0,1,42,5,0,49,0,9,13,14,26,18,11,27,0,0,0,1,16,1,49,0,7,0,0,0,0,0,0,0,4,33,23,0,46,0,0,0,0,9,34,0,4,7,11,0,0,9,2,0
2015-01-26,0,0,40,0,139,79,36,37,0,16,8,101,30,51,0,7,8,2,0,16,47,68,13,57,22,0,20,45,3,11,6,8,0,37,0,38,0,0,0,0,0,0,27,0,0,56,0,2,14,59,0,4,48,21,0,40,69,0,0,0,3,0,1,45,11,0,51,0,9,13,14,30,18,11,30,0,0,0,1,16,1,49,0,9,0,0,0,0,0,0,0,4,35,23,0,54,0,0,0,0,9,35,0,4,7,11,0,0,11,2,0
2015-01-27,0,0,51,0,166,91,40,37,0,16,8,120,30,51,0,7,8,2,0,16,58,68,13,57,22,0,21,51,3,13,6,8,0,42,0,38,0,0,0,0,0,0,27,0,0,56,0,2,23,60,0,4,48,24,0,42,69,0,0,0,3,0,1,50,11,0,58,0,9,13,15,32,18,11,36,0,0,0,1,16,1,49,0,9,0,0,0,0,1,0,0,4,40,25,0,55,0,0,0,0,9,36,0,4,7,12,0,0,12,3,0
2015-01-28,0,0,51,0,175,98,42,37,0,16,8,123,34,51,0,7,8,2,0,18,60,68,14,59,22,0,21,51,3,13,6,8,0,42,0,65,0,0,0,0,0,0,27,0,0,56,0,7,24,63,0,4,51,27,0,42,69,0,0,0,3,0,1,50,11,0,63,0,9,13,18,40,18,11,36,0,0,0,1,17,1,56,0,9,0,0,0,0,1,0,0,4,41,25,0,57,0,0,0,0,9,37,0,4,8,12,0,0,14,3,0
2015-01-29,0,0,53,0,185,98,43,37,0,16,8,135,34,53,0,7,11,2,0,20,67,68,14,62,23,0,21,55,3,13,17,8,0,42,0,70,0,0,0,0,0,0,43,0,0,56,0,7,27,65,0,4,52,27,0,42,75,0,0,0,3,0,1,50,11,0,77,0,9,13,18,45,18,11,39,0,0,0,1,17,1,65,0,9,0,0,0,0,1,0,0,4,41,25,0,61,0,2,0,0,9,43,0,4,8,13,0,0,18,5,0
2015-01-30,0,0,53,0,199,107,44,37,0,16,8,141,34,58,0,7,11,2,0,22,78,68,14,76,23,0,21,63,5,13,23,8,0,42,0,71,0,0,0,0,0,0,43,0,0,56,0,7,27,65,0,6,52,27,0,42,81,0,0,0,3,0,3,52,11,0,84,0,9,13,19,53,18,11,45,0,0,0,1,17,1,66,0,9,0,0,0,0,1,0,0,4,43,28,0,62,0,2,0,0,9,47,0,4,8,13,0,0,20,5,0
2015-01-31,0,0,53,0,199,118,47,37,0,16,8,150,34,65,0,7,11,2,0,22,78,68,14,92,24,0,21,72,5,13,34,8,0,44,0,76,0,0,0,0,1,0,47,0,0,56,0,7,27,66,0,8,52,27,0,42,84,0,0,0,3,0,3,57,11,0,91,0,9,15,19,56,18,11,49,0,0,0,1,17,1,66,0,9,0,0,0,0,1,0,0,4,43,28,0,78,0,2,0,0,9,47,0,4,8,13,0,0,20,5,0
2015-02-01,0,0,55,0,200,143,47,37,0,16,8,150,34,65,0,7,11,2,0,23,78,68,15,92,24,0,21,72,5,13,43,8,0,48,0,76,0,0,0,0,1,0,47,0,0,56,0,7,27,66,0,8,52,27,3,42,87,0,0,0,3,0,3,57,11,0,94,0,9,15,21,56,18,11,49,0,0,0,1,17,1,68,0,9,0,0,0,0,1,0,0,4,43,28,0,78,0,2,0,0,9,47,0,4,8,13,0,0,20,5,0
2015-02-02,0,0,80,0,209,150,50,39,0,17,8,175,34,65,0,7,12,2,0,23,88,85,15,101,26,0,33,80,8,14,43,8,0,50,0,76,0,0,0,0,1,0,64,0,0,74,0,7,27,68,5,8,84,27,3,42,87,0,0,0,3,0,3,57,11,0,95,0,9,15,21,58,19,11,54,0,0,0,1,17,1,79,0,9,0,0,0,0,1,0,0,4,45,32,0,97,0,2,0,0,9,47,0,4,8,13,0,0,20,5,0
2015-02-03,3,0,87,0,210,160,55,39,0,17,8,175,34,65,0,7,12,2,0,23,102,85,16,104,26,0,33,84,8,14,43,8,0,53,0,80,0,0,0,0,1,0,98,0,0,74,0,7,27,71,5,8,92,31,4,42,87,0,0,0,3,0,3,63,11,0,96,0,9,15,21,65,19,11,63,46,0,0,1,17,1,79,0,9,0,0,0,0,1,0,0,4,58,33,0,98,0,2,0,0,9,47,0,4,8,13,0,0,20,5,0
2015-02-04,3,0,95,0,236,178,64,40,0,17,9,179,36,65,0,7,13,2,0,23,125,85,16,112,31,0,40,88,8,14,43,17,0,53,0,80,0,0,0,0,2,0,98,0,0,76,0,7,27,72,5,12,93,31,4,42,91,0,11,0,4,0,3,66,11,0,96,0,9,18,23,66,20,12,68,47,0,0,1,21,1,79,0,9,0,0,0,0,1,0,0,5,60,33,0,110,0,14,0,0,9,49,0,4,8,13,0,0,20,5,0
2015-02-05,4,0,102,0,255,181,68,44,0,17,9,188,38,65,0,7,14,2,0,23,134,86,16,126,34,0,43,90,8,15,67,17,0,53,0,93,0,0,0,0,3,0,111,0,0,81,0,7,27,76,5,13,94,32,4,42,102,0,11,0,4,0,3,68,11,0,97,0,9,18,23,70,20,12,73,47,0,0,1,24,1,79,0,9,0,0,0,0,1,0,0,5,65,34,0,123,0,14,0,0,9,56,0,4,8,13,0,0,20,5,0
2015-02-06,4,0,111,0,256,181,77,48,0,17,9,188,41,65,0,7,15,4,0,23,151,94,16,132,37,0,68,93,9,17,69,17,0,53,0,109,0,0,0,0,4,0,111,0,0,114,0,7,27,78,5,13,108,34,4,42,108,0,11,0,5,0,3,68,11,0,101,0,9,20,26,71,21,12,78,47,0,0,1,26,1,79,0,9,0,0,0,0,1,0,2,5,66,34,0,129,0,14,0,0,9,56,0,4,8,13,0,0,20,5,5
2015-02-07,4,0,111,0,258,181,78,49,0,18,9,192,45,65,0,7,15,6,0,23,153,96,16,134,37,0,70,97,11,17,69,17,0,57,0,118,0,0,0,0,4,0,115,0,0,119,0,7,27,78,5,13,108,34,4,42,108,0,11,0,5,0,3,68,11,0,105,0,9,25,26,72,22,12,82,47,0,0,1,26,1,79,0,9,0,0,0,0,1,0,4,5,66,34,0,151,0,14,0,0,9,57,0,4,8,13,1,0,20,5,7
2015-02-08,4,0,111,0,259,181,78,49,0,18,9,192,45,65,0,7,15,6,0,23,153,96,16,134,37,0,70,97,11,18,91,17,0,59,0,118,0,0,0,0,4,0,115,0,0,120,0,7,27,78,5,13,108,34,4,42,121,0,11,0,5,0,3,68,11,0,105,0,10,25,26,72,22,12,82,47,0,0,1,26,1,79,0,9,0,0,0,0,1,0,5,5,66,34,0,151,0,14,0,0,9,57,0,4,8,13,1,2,20,5,10
2015-02-09,4,0,111,0,262,181,78,49,0,18,9,203,52,80,0,7,20,6,0,24,174,103,16,134,39,0,86,106,11,18,107,17,0,59,0,121,0,0,0,0,4,0,123,0,0,147,0,7,27,82,5,13,123,36,4,43,133,0,11,0,5,0,3,68,11,0,108,0,12,25,26,77,22,13,85,47,0,0,1,27,1,79,0,16,0,0,0,0,1,0,5,5,66,36,0,160,0,14,0,0,9,63,0,4,8,13,1,2,20,5,10
2015-02-10,5,0,117,0,279,181,78,51,0,18,9,205,52,82,0,7,22,6,0,24,174,103,17,134,39,0,91,117,11,18,111,17,0,59,0,133,0,0,0,0,4,0,127,0,0,150,0,7,32,84,5,18,131,38,4,54,143,0,47,0,5,0,3,68,11,0,108,0,12,25,27,78,22,13,85,47,0,0,1,30,1,79,0,16,1,0,0,0,1,0,7,5,67,38,0,167,0,14,0,0,9,73,0,4,8,13,2,2,20,5,12
2015-02-11,5,0,122,0,357,181,91,51,0,18,9,205,62,98,0,7,22,6,0,27,195,116,17,134,39,0,103,147,12,18,116,17,0,59,0,134,0,0,0,0,4,0,127,0,0,167,0,7,32,85,5,18,131,39,4,54,146,0,47,0,5,0,3,68,11,0,108,0,12,25,27,80,22,14,86,47,0,0,1,32,1,84,0,16,1,0,0,0,1,0,7,5,71,38,0,174,0,16,0,0,9,74,0,4,8,13,2,3,20,5,12
